geneID	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
DLX3	4.949688836569937	3.979572174806376	4.0309319119097315	4.141286723036168	4.820406274305916	1.2202869322127665	-2.039263192092598	-1.4580679198122166	-1.1063599145624237	0.5686300445041808
DMRTA1	1.8662620717845417	1.5987585205849426	3.172036610881922	2.869175569004184	1.2604621198403696	1.0328214652514287	-1.4387683424647364	-2.0715631322782206	1.2969116330728032	-1.5755378500119868
DMTN	4.172024008471473	3.4405714427355796	4.199486047353387	3.8714510616007005	4.3922276945004635	2.077835487859681	1.8433877645123762	1.1845217398270456	0.8422942510601178	1.7259039696345033
DMXL2	4.918639523924547	5.414724789644077	5.883304035381424	5.428486366883286	5.676498718117024	7.773983838363563	8.395765623401966	8.899120355676278	8.942345487505522	8.855043100780325
DNAH5	0.6634506407908264	1.5640714926928172	0.8959293336193569	1.5606483390453094	1.6591580535289157	0.12182090554642983	-1.5515051199435006	-1.144068473068661	-1.8295805319269878	-0.9692449097273167
DNER	5.490491386096315	3.6202141079287693	3.7363147622945685	4.06874059343771	4.369007343543621	1.1083406015336714	0.22297455346672299	0.2277801885072762	0.07585109528746935	0.272170112855494
DNMBP	6.173435434515605	6.135559479446405	6.235084163625405	6.121739057345185	6.103140674607591	4.148601816371856	4.222921467569059	3.5074272440171277	3.3789996058339073	4.1960986255408255
DOCK10	4.462456412864433	4.872086326684642	4.657618352310745	4.441415583053467	4.694776444088037	6.6663210442756204	7.0076266728090175	7.604569928258661	7.436376600992386	7.482651635049254
DOCK2	3.4334704263088733	4.85222504200484	4.497060757611473	4.657787450403674	4.298065671614759	7.450227740660272	7.91638481844734	8.036898385786492	8.337903253244898	8.149283544724396
DOCK4	4.627521483589182	4.872452395958365	6.050167419329174	5.158409436125599	3.918642492570794	6.429184146871067	7.074028103063154	7.319980324496009	7.218142770987087	7.641098688818594
DOCK8	5.019945342057901	4.969365224448911	5.751716205204536	5.159789418888303	6.1021169650756555	7.083299880238573	7.963502532968018	7.897726983583155	8.069439348090098	7.8010645551692015
DOK2	0.5648199084011346	2.3002967894813366	1.3781870654656576	2.7011106425896814	4.948143164831507	5.6160914508649356	5.6741955204659025	6.040754088158266	6.273128857182847	5.406344181066219
DOK3	0.43487548047599967	0.7769081274212581	1.1896061599908685	0.6786417719869657	2.7381635827934936	4.231927101389206	4.6088607379730595	4.99625367386624	4.910247612780925	4.3377168945621145
DOK4	6.602812506814355	6.162692105478276	6.006983063839442	6.272272461662733	6.348254011328146	5.159835391363984	3.971559100755808	2.9009744537883986	3.723195417820424	3.9462255042073315
DPEP2	-1.2339453376038803	0.774009300355969	0.4578210245076657	1.2151897358830688	2.8929352414620917	3.129030838919048	3.0435675532068367	3.1582709638611894	3.0208088415513497	2.6948577231326283
