geneID	FCtl_LE_1	FCtl_LE_2	FCtl_LE_3	F1h_LE_1	F1h_LE_2	F1h_LE_3	F3h_LE_1	F3h_LE_2	F3h_LE_3	F12h_LE_1	F12h_LE_2	F12h_LE_3	F24h_LE_1	F24h_LE_2	F24h_LE_3
Smp_210120.1	5.0018129159197535	5.254675826355415	4.943869189181913	5.13876464711323	5.1403512006828675	4.758013925188859	5.1732839987405574	5.170640923515088	5.138542779746101	4.107543967612655	4.282054039568227	4.22086686895409	3.499505818430307	3.8727739483844523	3.8966212995676828
Smp_065000.1	4.578913341182556	4.85951376709272	4.631503679315668	4.566528054567859	4.491749394061863	5.045170977784331	4.851529533104877	4.912344198924886	4.914177965452682	5.711041071852412	5.873894481425438	5.3227396668060845	5.786062838257736	5.743522820000134	5.749825683444003
Smp_159370.1	4.055612625174544	3.8573890091310594	3.4113537335749418	3.6879438348184723	3.555448220285724	4.576945964708229	3.67212504251618	3.38018091933877	3.504613474234586	5.09299942711339	5.133392848678041	4.582273846648906	5.520195636653528	5.462443920467224	5.531506918356907
Smp_174700.1	3.741083788778159	4.035736650946496	3.352717624432333	3.481488788130518	3.09618635505157	3.9923604576783234	3.6891179930585105	3.927141232781813	4.2163989151369305	4.5941066350418325	4.727180178565407	3.9215742211084286	4.742111065812917	5.009426215850338	4.946817389710941
Smp_074150.1	5.836655364309357	5.938878940452646	5.847122400072348	5.933726338317437	5.831992268450544	5.70734723459242	5.5343881643605926	5.599579343046002	6.035148186929151	4.976881052541044	4.947837932869678	4.928125205396323	4.956998535305021	4.988983869420586	4.545573809455262
Smp_074190.1	6.600569035482984	6.635450710205211	6.252144509408612	6.466088481755072	6.2892951653547975	6.250551687180143	6.009739061747764	6.509560457578648	6.719932225446879	5.515228521921741	5.515929069334116	5.568420152698408	5.170163545992344	5.404058967904264	5.186768408252033
Smp_162250.1	2.463806271162637	2.428064482019476	2.041191010826173	2.2768203735691586	2.7517792141511337	1.968971819716212	2.0102724942410237	2.245089054579136	2.197483825014552	2.586687458328595	2.699507496712231	2.548858642790195	3.37488191795451	3.4396647874085327	3.636839727658297
Smp_089270.1	1.3752793838727162	1.3349882275165972	1.3337889204443145	1.2483579819866972	1.830264530256712	2.0862052238179354	2.0594875599512106	1.4457207594989316	1.2453120601669625	4.505559786050251	4.703430324284382	3.869057465327463	4.693402004971544	4.28427898281021	4.747922733389175
Smp_170840.1	3.958512639662088	3.5809330961554977	3.9826165026265437	3.998788701654826	4.484397158672883	4.669982592314337	4.4328511267059385	4.319717697667519	4.420510696380296	7.017285030974857	7.342509579656145	6.897403005993369	7.292034901151803	6.9283524046666995	7.399088949290988
Smp_089290.1	8.112071663500352	7.930446472363002	8.179072128318312	8.200179091436455	8.073124971595213	8.377294491179518	8.379610159611484	8.093332125861425	8.23990333728686	9.316673130238483	8.929625012525202	9.421342561564623	9.938712886511214	9.774287688092093	9.9599873891901
