A	infection	infection	infection	F	F.p.value
ACAP1	4.75173041086882	2.47206131947509	8.16328268412828	3.27118120788572e-06	66.6391841809886	3.27118120788572e-06
ACAP2	7.60139907243216	0.256228198987912	1.4874496260248	0.162957845969319	2.21250638996132	0.162957845969319
ACAP3	5.42548464963989	-1.20816557439254	-6.16446250443955	5.06276866931741e-05	38.0005979686411	5.06276866931742e-05
ACAT1	6.00160291038133	-1.01020294204718	-5.84663581965196	8.21181628287918e-05	34.1831504076373	8.21181628287917e-05
ACAT2	4.75466273254493	0.0933093511935121	0.380174068733883	0.710527895177635	0.144532322537675	0.710527895177635
ACBD3	5.87668804167655	-0.745669846682695	-3.81113224584818	0.00252403760486651	14.5247289953438	0.00252403760486651
ACBD4	2.59227639309632	-0.470698317812153	-1.89804780906165	0.0822556422807477	3.60258548548374	0.0822556422807477
ACBD5	6.16979370746028	-0.334919826935188	-2.3271484613212	0.0384732098530645	5.41561996102964	0.0384732098530645
ACBD6	4.78758773107874	-0.243552111345363	-1.75469913474819	0.105048039723793	3.07896905348605	0.105048039723793
ACBD7	1.4022257268264	-0.722208184412357	-1.6724545985762	0.120549514141459	2.79710438429868	0.120549514141459
ACCS	3.64085940219593	-0.447621012592211	-1.86050223648707	0.0877446400443249	3.46146857197339	0.0877446400443249
ACD	2.98851966543745	0.489274864506988	1.95989702945796	0.0738952364526577	3.84119636607813	0.0738952364526577
ACE	4.29015535656156	1.16541047344816	3.27676986173777	0.00670420807130548	10.737220726793	0.00670420807130548
ACE2	-0.149653026020111	-0.347382029849802	-0.562433207098713	0.584281005087635	0.316331112447344	0.584281005087635
ACER1	2.67922916580209	-3.82818179717995	-5.19269122263108	0.000232255582507281	26.9640421335899	0.000232255582507281
ACER2	2.27192955878096	-1.76255961932314	-6.74264988789808	2.17579997788723e-05	45.4633275107719	2.17579997788723e-05
ACER3	5.29432432781475	0.840658998181287	4.56685195925022	0.000664215102014848	20.8561368177076	0.00066421510201485
ACHE	-0.472335312016088	1.61104750834554	5.08911497616876	0.000275344912913469	25.8990912406652	0.000275344912913469
ACIN1	6.40036170431633	-0.0338372908338975	-0.157518915336	0.877482235514515	0.0248122086886298	0.877482235514515
ACKR1	4.12398363689403	0.355385497562821	0.970959878368661	0.350928233452258	0.942763085401685	0.350928233452258
ACKR2	1.90639389797336	0.367930644808182	1.29092999470738	0.221291159304579	1.66650025123519	0.221291159304579
ACKR3	4.96159887561389	-0.308471485376491	-0.995443086513008	0.339370326656037	0.990906938486545	0.339370326656037
ACKR4	4.60082744880216	0.380981451259037	1.00278181009586	0.33596018865743	1.00557135865913	0.33596018865743
ACLY	6.87389093264595	0.331208525630806	1.44264993313288	0.174969882022956	2.08123882956831	0.174969882022956
ACO1	6.45673211050404	-9.23345566459233e-05	-0.000335228782455557	0.999738091177136	1.12378336586635e-07	0.999738091177136
ACO2	6.03726845624051	0.245057178070726	1.8616992149556	0.0875646151304197	3.46592396696629	0.0875646151304197
ACOD1	-0.207455644471092	8.54617155794369	4.58209756682998	0.00064702364626351	20.9956181119492	0.00064702364626351
ACOT1	2.54841733471863	-1.03598765740567	-3.67172279838809	0.00325013752051677	13.4815483082029	0.00325013752051677
ACOT11	4.26836451922122	-0.00869128177668443	-0.0382275429144081	0.970141323287455	0.00146134503727291	0.970141323287455
ACOT13	4.76834431582922	-0.145063739449226	-0.992288960738128	0.340843663457691	0.984637381602754	0.340843663457691
ACOT2	4.36023990730761	-0.969748808202631	-4.68200832557704	0.000545272326265484	21.9212019607727	0.000545272326265484
ACOT4	1.650010209972	0.329537601551966	1.01785518628163	0.32903428471802	1.03602918024042	0.32903428471802
ACOT7	3.93977872733324	1.06615386820524	4.24941005028636	0.00115437270726465	18.0574857754747	0.00115437270726465
ACOT8	3.95042700636781	-0.419630377277465	-2.61228097259934	0.0228707653669664	6.82401187980453	0.0228707653669664
ACOT9	5.49541677968193	1.26545177285504	7.32215546300698	9.75138928362854e-06	53.613960624443	9.75138928362855e-06
ACOX1	7.45003725909887	-0.862924253580903	-5.68722484056235	0.000105219947329274	32.3445263871095	0.000105219947329274
ACOX2	1.70702451729416	-1.56673829777507	-4.88885267662271	0.000384252969240201	23.900880493721	0.000384252969240201
ACOX3	4.4249192187911	0.253063840594019	1.21021624403916	0.249732181805945	1.46462335733625	0.249732181805945
ACOXL	0.631726295456155	1.38289498504766	4.53255356259518	0.000704657039103931	20.5440417977943	0.000704657039103931
